"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","MCLENNAN","309","","","00000000","","CORN","TOTAL","NOT SPECIFIED","63,500","0","50,000","16.9","6,035,000","17.8","120.7","5.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","MILAM","331","","","00000000","","CORN","TOTAL","NOT SPECIFIED","39,200","0","35,500","13.7","3,972,000","14.6","111.9","4.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","NAVARRO","349","","","00000000","","CORN","TOTAL","NOT SPECIFIED","22,200","0","20,700","7.4","1,875,000","12.4","90.6","9.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","WILLIAMSON","491","","","00000000","","CORN","TOTAL","NOT SPECIFIED","103,000","0","98,000","13.2","9,624,000","14","98.2","4.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","COASTAL BEND","82","NUECES","355","","","00000000","","CORN","TOTAL","NOT SPECIFIED","11,200","0","10,200","13.2","762,000","14.4","74.7","5.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","COASTAL BEND","82","SAN PATRICIO","409","","","00000000","","CORN","TOTAL","NOT SPECIFIED","20,000","0","18,100","14.4","1,622,000","27.9","89.6","23.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","WALLER","473","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,100","0","2,890","8.7","272,000","9.2","94.1","2.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","GILLESPIE","171","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,000","0","1,430","23.4","109,400","26","76.5","11.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","TOM GREEN","451","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,100","0","4,180","32.5","460,000","37.1","110","16.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","UVALDE","463","","","00000000","","CORN","TOTAL","NOT SPECIFIED","15,800","0","14,000","4.9","1,483,000","8.1","105.9","6.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","LOWER VALLEY","97","HIDALGO","215","","","00000000","","CORN","TOTAL","NOT SPECIFIED","23,500","0","19,900","4.6","2,054,000","8","103.2","6.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","LOWER VALLEY","97","WILLACY","489","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,300","4.7","3,280","14.2","298,000","26.7","90.9","23.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","CARSON","065","","","00000000","","CORN","TOTAL","NOT SPECIFIED","30,700","0","27,400","14.8","6,039,000","15.3","220.4","2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","DALLAM","111","","","00000000","","CORN","TOTAL","NOT SPECIFIED","93,000","0","86,400","8.3","12,900,000","15.7","149.3","13.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","DEAF SMITH","117","","","00000000","","CORN","TOTAL","NOT SPECIFIED","36,700","0","27,200","23.3","5,296,000","23.8","194.7","2.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","GRAY","179","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,600","0","5,250","24.9","1,122,000","24.9","213.7","2.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HALE","189","","","00000000","","CORN","TOTAL","NOT SPECIFIED","28,400","0","25,100","11.9","3,597,000","17.5","143.3","12.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HARTLEY","205","","","00000000","","CORN","TOTAL","NOT SPECIFIED","91,000","0","79,800","9.5","14,252,000","15.1","178.6","11.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HUTCHINSON","233","","","00000000","","CORN","TOTAL","NOT SPECIFIED","26,500","0","23,300","15.8","5,114,000","16.1","219.5","3.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","LIPSCOMB","295","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,600","0","4,170","14.3","729,000","14.6","174.8","2.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","MOORE","341","","","00000000","","CORN","TOTAL","NOT SPECIFIED","50,700","0","46,400","11.2","10,070,000","12.3","217","4.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","OCHILTREE","357","","","00000000","","CORN","TOTAL","NOT SPECIFIED","33,000","0","29,700","14.7","6,718,000","14.9","226.2","3.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","SHERMAN","421","","","00000000","","CORN","TOTAL","NOT SPECIFIED","96,400","0","87,700","13.2","18,378,000","13.6","209.6","2.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","SWISHER","437","","","00000000","","CORN","TOTAL","NOT SPECIFIED","5,600","0","4,150","22.2","780,000","23","188","5.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","AUSTIN","015","","","00000000","","CORN","TOTAL","NOT SPECIFIED","5,800","0","5,240","14.4","461,000","14.9","88","3.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","BEXAR","029","","","00000000","","CORN","TOTAL","NOT SPECIFIED","6,900","0","6,060","15.8","448,000","18.6","73.9","9.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","BURLESON","051","","","00000000","","CORN","TOTAL","NOT SPECIFIED","10,600","0","9,900","10.5","1,288,000","16.1","130.1","12.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","CALDWELL","055","","","00000000","","CORN","TOTAL","NOT SPECIFIED","6,900","0","6,290","14.8","572,000","21.5","90.9","15.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","COLORADO","089","","","00000000","","CORN","TOTAL","NOT SPECIFIED","10,800","0","10,100","9.1","852,000","17.4","84.4","14.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","DE WITT","123","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,200","0","3,860","14.8","410,000","16.2","106.2","6.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","FAYETTE","149","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,800","0","6,980","14.5","711,000","18.1","101.9","10.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","GOLIAD","175","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,100","0","2,800","14.1","186,200","20.7","66.5","14.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","GONZALES","177","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,700","0","4,330","14.7","414,000","24","95.6","19.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","GUADALUPE","187","","","00000000","","CORN","TOTAL","NOT SPECIFIED","23,100","0.1","20,700","14.8","1,946,000","16.5","94","7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","HAYS","209","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,500","0","3,260","14","300,000","14.8","92","5.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","LAVACA","285","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,200","0","1,980","14.6","155,800","21.6","78.7","15.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","LEE","287","","","00000000","","CORN","TOTAL","NOT SPECIFIED","400","0.1","350","12.8","30,100","38.4","86","36.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","MEDINA","325","","","00000000","","CORN","TOTAL","NOT SPECIFIED","27,400","0","25,300","5.8","2,024,000","12.4","80","10.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","TRAVIS","453","","","00000000","","CORN","TOTAL","NOT SPECIFIED","15,800","0","14,200","14.7","1,108,000","15.2","78","3.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH TEXAS","96","FRIO","163","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,000","0","6,410","15.6","947,000","16.8","147.7","5.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","GLASSCOCK","173","","","00000000","","CORN","TOTAL","NOT SPECIFIED","700","0","650","7.9","111,400","14","171.4","12"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN LOW PLAINS","22","COLEMAN","083","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,900","0","2,150","22","112,700","28.9","52.4","18.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","UPPER COAST","90","FORT BEND","157","","","00000000","","CORN","TOTAL","NOT SPECIFIED","17,200","0","15,600","14.1","2,053,000","14.9","131.6","4.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","UPPER COAST","90","JACKSON","239","","","00000000","","CORN","TOTAL","NOT SPECIFIED","86,000","0","79,100","13.3","9,191,000","14.6","116.2","5.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","UPPER COAST","90","MATAGORDA","321","","","00000000","","CORN","TOTAL","NOT SPECIFIED","41,300","0","38,900","11.4","4,046,000","14.5","104","8.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","UPPER COAST","90","VICTORIA","469","","","00000000","","CORN","TOTAL","NOT SPECIFIED","37,700","0","35,500","11","3,536,000","18.9","99.6","15.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","UPPER COAST","90","WHARTON","481","","","00000000","","CORN","TOTAL","NOT SPECIFIED","93,500","0","87,500","11.5","12,084,000","11.9","138.1","3.4"
