X,Y,OBJECTID,Type,Name,Address,City,Zip,County,Certified,Organic,Certifie_1,Fruit,Vegetables,Herbs,Dairy,Egg,Beef,Poultry,Hog,Other_Anim,Other_Prod,Farm_Stand,Pick_your,Direct_Mea,CSA,Farmers_Ma,Wholesale,Restaurant,Agritouris,Education,X_Coord,Y_Coord,Website
-75.4754915687027,38.3439018081872,11,Farm,Adkins Farms,32825 Mt. Hermon Road,Parsonsburg,21849,Wicomico, , , ,Yes,Yes, , ,Yes, , , , , ,Yes, , , , , , , , ,-8401893.2888,4628122.1661,http://marylandsbest.net/producer/adkins-farm-market/
-77.2634229002394,39.2526645888018,12,Farm,Against The Wind Ranch Natural Beef,24235 Burnt Hill Road,Clarksburg,20871,Montgomery, , , , , , , , ,Yes, , , , , , , , , , , , , ,-8600924.8942,4757928.5001,http://marylandsbest.net/producer/against-the-wind-ranch-natural-beef/
-76.5659237359269,39.5556005545421,13,Farm,Albright Farms,15630 Old York Road,Monkton,21111,Baltimore, , , ,Yes,Yes,Yes, ,Yes,Yes,Yes, , , ,Yes, , , ,Yes, , , , ,-8523279.6424,4801571.9615,http://www.albrightfarms.net
-77.7257662529913,39.4267424421696,14,Farm,Aliabaad Farm,4040 Mills Road,Sharpsburg,21782,Washington, , , ,Yes,Yes,Yes, ,Yes, , , , , ,Yes, , ,Yes,Yes,Yes, , , ,-8652392.7208,4782984.4187,http://www.aliabaad.com/
-76.6566379911578,38.7844336283,15,Farm,All American Farm - Produce And Flowers,5935 Talbot Rd,Lothian,20711,Anne Arundel, , , ,Yes,Yes, , , , , , , , ,Yes, , , , , , ,Yes, ,-8533377.9071,4690840.4094,http://marylandsbest.net/producer/all-american-farm-produce-and-flowers/
-79.3375672253224,39.3524684561696,16,Farm,All Boer Goats & Produce,4771 Gorman Road,Oakland,21550,Garrett, , , ,Yes,Yes, , , , , , , , , , , , ,Yes, , , , ,-8831817.5843,4772286.1494,http://marylandsbest.net/producer/all-boer-goats-produce/
-77.5559163105844,39.6565325051297,17,Farm,Allenberg Orchards,23319 Barth Spring Ln,Smithsburg,21783,Washington, , , ,Yes,Yes, , , , , , , , ,Yes, , , ,Yes,Yes, , , ,-8633485.1117,4816155.3333,http://www.bestorchard.com/
-76.5734155713104,38.4903274525289,18,Farm,Almarbo Farm Goat,2305 Grays Road,Prince Frederick,20678,Calvert, , , , , , , , , , , ,Goat, , , , , , , , , , ,-8524113.6297,4648926.0898,http://www.calvertag.com/farms/almarbo.html
-76.7166301825738,38.350449722011,19,Farm,Alvey Brothers Farm,39302 Alvey Way,Clements,20624,St. Mary's, , , , , , , , ,Yes, ,Yes, , , , ,Yes, , , , , , ,-8540056.2073,4629051.5837,http://smadc.com/publications/farmguideweb.pdf
-77.2350444781186,39.0886103043261,20,Farm,Amberlea Farm,14211 Defret Mill Rd,Gaithersburg,20878,Montgomery, , , , , , , ,Yes, , , , , , , , , , , , , , ,-8597765.8227,4734372.198,https://www.amberleafarm.com/farm/farm%20page%20index.html
-75.8285206548039,39.3585481724367,21,Farm,Anchor Nursery,32721 Galena Sassafrass Road,Galena,21635,Kent, , , ,Yes,Yes,Yes, , , , , , , , , , , ,Yes, , , , ,-8441192.3069,4773161.4313,https://www.facebook.com/pages/anchor-nursery/108275652567389
-75.7872510355552,39.1741202729632,22,Farm,Andover Meadow Farm,2408 Peters Corner Rd,Marydel,21064,Queen Annes, , , , , , , ,Yes, , , , , , , , , , , , , , ,-8436598.1939,4746643.5857,http://mda.maryland.gov/foodfeedquality/documents/reg_lst.6.2015.pdf
-76.4022109083696,39.4940154932328,23,Farm,Andrews Garden/Andy's Eggs,2601 Harford Road,Fallston,21047,Harford, , , , , , , ,Yes, ,Yes, , , , , , , ,Yes,Yes, , , ,-8505055.2138,4792684.1331,https://www.facebook.com/pages/andys-eggs-and-poultry/235156829877317
-77.716918865234,39.4811048202523,24,Farm,Antietam Glen,18717 Planters Lane,Keedysville,21756,Washington, , , , ,Yes, , ,Yes, , , , , , , , , , , , , , ,-8651407.8341,4790821.8902,http://www.localharvest.org/antietam-glen-m563
-76.2888020344156,39.7195906598276,25,Farm,"Applewood Farm, LLC",4435 Prospect Road,Whiteford,21160,Harford, , , , ,Yes, , , , , , , , , ,Yes, , , , , ,Yes, ,-8492430.5957,4825277.2369,http://www.applewoodfarm.org
-76.1426720675601,39.1932341000163,26,Farm,Arcadia Farm,23836 Ricauds Branch Rd,Chestertown,21620,Kent, , , ,Yes,Yes, , , ,Yes, , , , ,Yes, , , , , , , , ,-8476163.4822,4749388.6176,http://rkdabeef4u.blogspot.com/
-75.7708675030129,39.2408771218973,27,Farm,Ardover Farms,145 Ardover Farm Lane,Millington,21651,Queen Anne's, , , , , , , , , , ,Yes, , , , , , , , , , , ,-8434774.3874,4756234.1214,https://extension.umd.edu/agmarketing/farm-directory
-75.734041653642,38.1286817646194,28,Farm,Arlington's Natural Meats,9001 Ring Rd,Westover,21871,Somerset, , , , , , , , ,Yes, ,Yes, , , , , , ,Yes,Yes,Yes, , ,-8430674.9526,4597620.2133,http://marylandsbest.net/producer/arlington-s-natural-meats/
-76.7561461179114,39.5908664713911,29,Farm,"Armacost Farms, Inc.",1692 Gorsuch Mill Rd,Upperco,21155,Baltimore, , , ,Yes, , , , , , , , , , ,Yes, , , , , ,Yes, ,-8544455.1011,4806665.0185,http://www.orangepippin.com/orchards/united-states/maryland/armacost-farms-orchard
-76.4937576943582,38.4110239128959,30,Farm,Armiger Show Team,2208 Garrity Rd,St. Leonard,20685,Calvert, , , , , , , ,Yes,Yes,Yes, ,Lamb, , , ,Yes, ,Yes,Yes, , , ,-8515246.1554,4637653.5348,http://www.calvertag.com/farms/armiger.html
-75.9790325551064,39.2326075893314,31,Farm,Arnold Farms,219 Double Creek Point Rd,Chestertown,21620,Queen Anne's, , , ,Yes,Yes, , , , , , , , ,Yes, , , ,Yes,Yes, , , ,-8457947.215,4755045.5949,http://marylandsbest.net/producer/arnold-farms/
-76.5626730275611,38.8992333657512,32,Farm,Arrowhead Hill Organic Farm,3872 Muddy Creek Road,Harwood,21037,Anne Arundel, ,Yes, ,Yes,Yes, , , , , , , , , , , , ,Yes, , , , ,-8522917.7752,4707247.8779,http://marylandsbest.net/producer/arrowhead-hill-organic-farm/
-76.8742775467051,39.5557980124574,33,Farm,Aspen Spring Farm,3400 Carrollton Rd,Hampstead,21074,Carroll, ,Yes, ,Yes,Yes, , ,Yes,Yes, ,Yes,Goat, , , , , , , , , , ,-8557605.4316,4801600.4709,https://www.facebook.com/pages/aspen-spring-farm/135191159835285?sk=info&tab=overview
-76.6921811729655,38.5877977714825,34,Farm,"At Last Farm, LLC",18101 At Last Farm Rd,Aquasco,20608,Prince Georges,Yes - USDA, , ,Yes, , , ,Yes,Yes, , ,Lamb, , , , , ,Yes,Yes,Yes, , ,-8537334.556,4662797.9605,http://atlastfarm.com/
-79.3208507789325,39.5608994701005,35,Farm,Atlantis Growers,1886 Mosser Rd,Mchenry,21541,Garrett, , , , ,Yes, , , , , , , , , , , , ,Yes,Yes, , , ,-8829956.718,4802337.0585,http://marylandsbest.net/producer/atlantis-growers/
-76.8523245079104,39.6019802808294,36,Farm,Audia's Farm North,1011 S. Carroll St.,Hampstead,21074,Carroll, , , ,Yes,Yes,Yes, , , , , , , , , , , ,Yes, , , , ,-8555161.6305,4808270.5973,http://www.hotfrog.com/companies/audias-farm-north
-77.021914409602,39.2011825145463,37,Farm,Avianmead Organics,20921 New Hampshire Ave.,Brookeville,20833,Montgomery, ,Yes, ,Yes,Yes,Yes, , , , , , , , , , ,Yes,Yes, , , , ,-8574040.292,4750530.3488,http://marylandsbest.net/producer/avianmead-organics/
-77.1527029920529,38.5673765846731,38,Farm,Azure B. LLC,4730 Bicknell Road,Marbury,20658,Charles, , , ,Yes, , , , , , , , , , , , ,Yes, ,Yes, ,Yes,Yes,-8588599.6104,4659890.0819,http://www.azurebllc.com/
-75.8577717390192,38.5559985564367,39,Farm,B&K Farms,4670 Centennial Road,Rhodesdale,21659,Dorchester, , , ,Yes, , , , , , , , , , , , , , ,Yes, , , ,-8444448.5227,4658270.264,http://marylandsbest.net/producer/b-k-farms/
-76.577044445258,38.9018520529283,40,Farm,Back 40 Farm,3782 Hardesty Road,Harwood,20776,Anne Arundel, , , ,Yes,Yes, , , , , , , , ,Yes, , , , ,Yes, , , ,-8524517.5941,4707622.4564,http://marylandsbest.net/producer/back-40-farm/
-77.1349960281964,39.3650272609568,41,Farm,Back Acres,3950 Twin Arch Rd.,Mt. Airy,21771,Carroll, , , , , , , , ,Yes, , , , , , , , , , , , , ,-8586628.4802,4774094.2937,http://www.carrollag.org/pdf/farmdirectory.pdf
-79.3866135653756,39.342925518829,42,Farm,Backbone Food Farm,530 Lynndale Road,Oakland,21550,Garrett, ,Yes,Yes, ,Yes, , ,Yes,Yes,Yes, , , , , , ,Yes,Yes, , ,Yes, ,-8837277.3979,4770912.4296,http://www.backbonefarm.com
-76.7074474537209,38.6781848502676,43,Farm,Bald Eagle Farm,17011 River Airport Road,Brandywine,20613,Prince Georges, , , , , , , , ,Yes, , , , , , , , , , , , , ,-8539033.9906,4675678.5889,http://www.localharvest.org/bald-eagle-farm-m50761
-76.2237422856835,39.5678926380664,44,Farm,Ball Farm,3208 Level Road,Churchville,21028,Harford, , , , , , ,Yes, , , , , , , , , , , , , , , ,-8485188.1776,4803346.8738,http://www.harfordfarms.com/farmdetails.php?farmid=247
-76.6401135955925,39.3295407478472,45,Farm,Baltimore Free Farm,3510 Ash St,Baltimore,21211,Baltimore City, , , , ,Yes, , , , , , , ,Seafood, , , ,Yes,Yes, , , , ,-8531538.4198,4768985.9882,http://www.baltimorefreefarm.org
-76.6471559463472,39.332537358448,46,Farm,Baltimore Honey,2054 Druid Park Dr,Baltimore,21211,Baltimore City, , , , , , , , , , , , ,Honey, , , ,Yes, , , , , ,-8532322.3707,4769417.2519,http://www.bmorehoney.org
-76.5970425999759,39.2819304533232,47,Farm,Baltimore Urban Gardening with Students,802 S Caroline St,Baltimore,21231,Baltimore City, , , ,Yes,Yes, , , , , , , , , , , , , ,Yes,Yes, ,Yes,-8526743.7785,4762136.5271,http://bugsprogram.blogspot.in/
-76.5571534344007,39.5715414421088,48,Farm,Baltimorganic,16345 Old York Road,Monkton,21111,Baltimore, ,Yes,Yes, ,Yes,Yes, , , , , , , , , , ,Yes, , ,Yes, , ,-8522303.3369,4803873.8025,http://www.baltimorganic.com/
-77.211009502923,39.2329009831386,49,Farm,Banner Bee Apiaries,10021 Banner Country,Gaithersburg,20882,Montgomery, , , , , , , , , , , , ,Honey, , , , ,Yes,Yes, , , ,-8595090.2615,4755087.7601,http://www.bannerbees.com
-77.5914768918608,39.6799268414546,50,Farm,Barr Orchard Partnership,22301 Durberry Road,Smithsburg,21783,Washington, , , ,Yes, , , , , , , , , , ,Yes, , , , , , , ,-8637443.6975,4819538.553, 
-75.7968810975718,38.4577761779586,51,Farm,Barren Creek Farm,23550 Taylors Trail,Mardela Springs,21837,Wicomico, , , , , , , ,Yes, , , , , , , , , , , , , , ,-8437670.2075,4644297.6089,http://barrencreekalpacas.openherd.com/
-75.8481575232842,38.6656551508356,52,Farm,Bartenfelder Farms,4810 Payne Road,Hurlock,21643,Dorchester, , , ,Yes,Yes, , , , , , , , , , , , ,Yes, , , , ,-8443378.2731,4673892.0715,http://marylandsbest.net/producer/bartenfelder-farms/
-76.7479890674836,39.5568008541447,53,Farm,Basignani Winery,15722 Falls Rd,Sparks Glencoe,21152,Baltimore, , , ,Yes, , , , , , , , ,Vineyard, , , , , , , ,Yes, ,-8543547.0624,4801745.2646,http://www.basignani.com
-77.0505960697251,39.6024641722584,54,Farm,Baugher's Orchard,1015 Baugher Rd.,Westminster,21158,Carroll, , , ,Yes,Yes, ,Yes, , , , , , ,Yes,Yes, , , ,Yes, ,Yes, ,-8577233.1198,4808340.5095,http://www.baughers.com
-76.8261587926412,39.7197769429349,55,Farm,Baughman Mill Farm,4808 Baughman Mill Road,Lineboro,21102,Carroll, , , , , , , ,Yes, , , , , ,Yes, , , , , , , , ,-8552248.8764,4825304.1967,http://www.carrollag.org/farms/farmresultsdetail.cfm?id=322
-76.4527178929052,39.4578851306912,56,Farm,Beachmont Farm,6415 Mt Vista Rd,Kingsville,21087,Baltimore, , , , , , , ,Yes, , , , , , , , , , ,Yes, , , ,-8510677.6256,4787473.5385,http://www.gardensofbeachmont.com/
-75.8887326792413,38.7575638446026,57,Farm,Beasley's Farm,23577 Collins Road,Preston,21655,Caroline, , , ,Yes,Yes, , , , , , , , , , , , ,Yes, , , , ,-8447895.0788,4687003.9297,http://marylandsbest.net/producer/beasley-s-farm/
-76.2496889431773,39.5059841328634,58,Farm,Beavers Everlasting Farm,3131 Nova Scotia Road,Bel Air,21015,Harford, , , ,Yes,Yes,Yes, , , , , , , , , , , ,Yes, , , , ,-8488076.5463,4794410.8055,http://marylandsbest.net/producer/beavers-everlasting-farm/
-77.003782018,39.0987817205863,59,Farm,Becrafts's Farm Produce,14722 New Hampshire Ave.,Silver Spring,20905,Montgomery, , , ,Yes,Yes, , , , , , , ,Honey, ,Yes, , ,Yes,Yes, ,Yes, ,-8572021.8034,4735831.1,http://www.naturalmaryland.com/farmersfishermen/farmerdirect/montgomcty/becraft%27s_farm.htm
-76.6986309446531,39.2885229191952,60,Farm,Bee Friendly Apiary,422 Nottingham Rd,Baltimore,21229,Baltimore City, , , , , , , , , , , , ,Honey, , , , , , , , , ,-8538052.5413,4763084.6752,http://beefriendlyapiary.com/
-76.4907932593104,39.6323650001631,61,Farm,Beichler Family Farm,2066 Nelson Mill Road,Jarrettsville,21084,Harford, , , , , , , ,Yes, ,Yes, , , , , , , ,Yes, , , , ,-8514916.156,4812661.5025,http://www.beichlersbeyond.com/home_page.html
-77.3756116680015,39.2207308870002,62,Farm,Bella Terra Family Farm,Old Hundred Rd & Barnesville Rd,Comus,20842,Montgomery, , , ,Yes,Yes,Yes, ,Yes, ,Yes,Yes,"Lamb, Rabbit", , , ,Yes,Yes,Yes, , , , ,-8613413.6907,4753338.8782,http://www.bellaterrafamilyfarm.com
-77.4456444560105,39.4977349406484,63,Farm,Belle Creek Farm,9703 Bethel Road,Frederick,21702,Frederick, , , , ,Yes,Yes, ,Yes, , ,Yes,Rabbit,Beans, , , , ,Yes, , , , ,-8621209.705,4793220.6925,http://bellecreekfarm.com/index.html
-78.0089800934009,39.6764237939521,64,Farm,Belle Prairie Farm,13262 Pipe Tomahawk Dr,Big Pool,21711,Washington, , ,Yes,Yes,Yes, , , ,Yes, , ,Lamb, , , , , ,Yes, , , , ,-8683919.9413,4819031.8797,https://www.facebook.com/belleprairiefarm/timeline?ref=page_internal
-77.1262793911269,38.5421927752171,65,Farm,Belly Acres Farm,6220 Stuckey La,Indian Head,20640,Charles, , , , , , , ,Yes, , , , , , , , , , , , , , ,-8585658.1486,4656305.1665,http://mda.maryland.gov/foodfeedquality/documents/egglawreg_lst.pdf
-76.4572952045365,39.5152194893693,66,Farm,Belvedere Farm,2840 Pleasantville Rd,Fallston,21047,Harford, , , , ,Yes, , , , , , , , , ,Yes, , ,Yes,Yes, ,Yes, ,-8511187.1696,4795743.3603,http://marylandsbest.net/producer/belvedere-farm/
-75.8777916536283,39.145811565696,67,Farm,Bengusta Produce,1214 Barclay Road,Barclay,21607,Queen Anne's, , , ,Yes,Yes, , , , , , , , ,Yes, , , , , , , , ,-8446677.1294,4742579.4018,http://marylandsbest.net/producer/bengusta-produce/
-76.4507422676267,39.6871124583798,68,Farm,Benjamin's Landing,4909 Fawn Grove Road,Pylesville,21132,Harford, , , ,Yes,Yes, , , , , , , , ,Yes,Yes, , , , , ,Yes,Yes,-8510457.7,4820577.9457,http://www.benjaminslanding.com/
-75.1402436607752,38.3029002780816,69,Farm,Berlin Organics,8816 Stephen Decatur Hgwy,Berlin,21811,Worcester, ,Yes, ,Yes,Yes,Yes, ,Yes, , , ,Goat, ,Yes,Yes, , ,Yes, , ,Yes, ,-8364573.6624,4622304.2759,http://www.berlinorganics.com/
-76.5620043845456,38.3479216647306,70,Farm,Berrywood Farm,24744 Sotterley Road,Hollywood,20636,St. Mary's, , , ,Yes, , , , , , , ,Rabbit, ,Yes,Yes, , , , , ,Yes, ,-8522843.3422,4628692.7387,http://marylandsbest.net/producer/berrywood-farm/
-79.2197067068588,39.7111299337266,71,Farm,Bietschehof Farm,175 Hetrick Rd,Grantsville,21536,Garrett, , , , , , , , ,Yes,Yes,Yes,"Lamb, Goat", , , , , , , , ,Yes, ,-8818697.4114,4824052.8361,http://marylandsbest.net/producer/bietschehof-farm/
-76.6156088104865,39.262477002298,72,Farm,Big City Farms,40 Dickman St,Baltimore,21230,Baltimore City, ,Yes,Yes, ,Yes,Yes, , , , , , , ,Yes, , ,Yes,Yes,Yes,Yes, , ,-8528810.55964,4759339.19383,http://www.bigcityfarms.com/
-77.6641663431181,39.4283521312929,73,Farm,Big Cork Vineyards,4236 Main St,Rohrersville,21779,Washington, , , ,Yes,Yes, , , , , , , ,Vineyard, ,Yes, , , , , ,Yes, ,-8645535.4502,4783216.4011,http://marylandsbest.net/producer/big-cork-vineyards/
-75.9321608773542,39.672297608374,74,Farm,Big Hands Small Hands Produce,640 Wheatley Rd,North East,21901,Cecil, , , , , , , ,Yes, , , , , , , , , , , , , , ,-8452729.4837,4818435.11,http://mda.maryland.gov/foodfeedquality/documents/reg_lst.6.2015.pdf
-75.439385171958,38.3162654326911,75,Farm,Big Red Farm LLC,33824 Laws Rd,Parsonsburg,21849,Wicomico, , , , , , , ,Yes, , , , , , , , , , , , , , ,-8397873.9431,4624200.3559,http://www.bigredfarm.com/
-77.4498355046461,39.325241579097,76,Farm,Big White Barn Produce/Carrollton Manor Farm,6601 Manor Woods Rd,Frederick,21703,Frederick, , , ,Yes,Yes,Yes, , , , , , , ,Yes, , ,Yes,Yes,Yes, , , ,-8621676.2504,4768367.2963,http://www.bigwhitebarn.com
-75.1344237635103,38.3143760243142,77,Farm,Birchs Produce Market,12217 Sinepuxent Rd,Berlin,21811,Worcester, , , ,Yes,Yes, , , , , , , , , ,Yes, , , , , , , ,-8363925.7944,4623932.2892, 
-75.5264206410476,38.0789186173456,78,Farm,Birds Eye View Farm,2909 Byrd Rd,Pocomoke,21851,Worcester, , , , , , , ,Yes, , , , , ,Yes, , ,Yes, , , , , ,-8407562.6872,4590580.3732,http://www.localharvest.org/birds-eye-view-farm-m53250
-77.1646801461927,39.4595693735654,79,Farm,Black Ankle Vineyards,14463 Black Ankle Rd,Mount Airy,21771,Frederick, , , ,Yes, , , , , , , , ,Vineyard,Yes, , , , , , ,Yes, ,-8589932.9011,4787716.374,http://www.blackankle.com
-75.7752138326319,39.3263394652258,80,Farm,Black Bottom Farms,12810 Black Bottom Rd,Galena,21635,Kent, , , , , , , ,Yes,Yes,Yes,Yes, , , , , , ,Yes, , , , ,-8435258.2186,4768525.2891,http://blackbottomfarms.blogspot.com/
-76.8618700528318,39.7183637911543,81,Farm,"Black Rock Orchard, Inc",5400 N. Church St.,Lineboro,21102,Carroll, , , ,Yes, , , , , , , , , , , , , ,Yes, , , , ,-8556224.2357,4825099.6803,http://marylandsbest.net/producer/black-rock-orchard/
-79.1052745826259,39.6302802063683,82,Farm,Blackberry Ridge Farm,13556 Westernport Road,Grantsville,21536,Garrett, , , , , , , ,Yes,Yes,Yes, ,Lamb, , , , , , , , , , ,-8805958.8856,4812360.1667,http://marylandsbest.net/producer/blackberry-ridge-farm/
-75.8380250488005,38.7044000328285,83,Farm,Blades Orchard At Friendship Farms,4822 Preston Road,Federalsburg,21632,Caroline, , , ,Yes,Yes,Yes, , , , , , ,"Cider, Honey",Yes,Yes, ,Yes,Yes,Yes, ,Yes, ,-8442250.3312,4679417.4304,http://www.bladesorchard.com/
-76.6899832047727,38.3995347045061,84,Farm,Blanoaks Farm,40102 Mrs Graves Rd,Mechanicsville,20659,St. Mary's, , , , , ,Yes, , , , , , , ,Yes, , , , , , , , ,-8537089.8793,4636021.4346,http://marylandsbest.net/producer/blanoaks-farm/
-75.3894767429811,38.3227068558821,85,Farm,Blue Belle Farm,35318 Wango Rd.,Pittsville,21850,Wicomico, , , ,Yes,Yes,Yes, , , , , , ,Honey,Yes, , , , , , , , ,-8392318.1622,4625114.3088,http://www.localharvest.org/blue-belle-farm-m45882
-76.6956832021,38.3714987299247,86,Farm,Blue Bird Meadows,39922 Williams Farm Lane,Loveville,20656,St. Mary's, , , , ,Yes, , ,Yes,Yes,Yes,Yes,Lamb, ,Yes, , , , ,Yes, , , ,-8537724.4001,4632039.8709,http://www.bluebirdmeadows-farm.com/
-77.5962384344822,39.469292268892,87,Farm,Blue Faerie Farm,2112 Old National Pike,Middletown,21769,Frederick, ,Yes, ,Yes,Yes, , ,Yes, , , , , , , , ,Yes,Yes, , , , ,-8637973.75,4789118.3438,http://www.bluefaeriefarm.com/
-77.390727586948,39.1591051006161,88,Farm,"Blue Sky Organics, LLC",18370 Cattail Rd,Poolesville,20837,Montgomery,Yes - USDA, , , ,Yes, , , , , , , , , , , , , ,Yes, , , ,-8615096.3871,4744487.7053,http://apps.ams.usda.gov/nop/
-76.5921717656221,38.8967239800092,89,Farm,Blue Tomato Farms,1 Jessie Road,Harwood,20776,Anne Arundel, , , ,Yes,Yes, , ,Yes, , , , ,Honey, , , ,Yes,Yes,Yes, , , ,-8526201.5597,4706888.9469,http://localhens.com/farms/profile/blue-tomato-farms/
-77.003590966102,39.1531203083587,90,Farm,Blueberry Gardens,237 Ashton Road (Rt. 108),Ashton,20861,Montgomery, , , ,Yes, , , , , , , , ,Honey, , , ,Yes, , , , , ,-8572000.5356,4743628.5363,http://www.blueberrygardens.org
-77.905121310742,39.6640959837813,91,Farm,Blueberry Hill Vegetables,12739 Cohill Rd,Clear Spring,21722,Washington,Yes - USDA, , ,Yes,Yes,Yes, , , , , , , , , , ,Yes,Yes,Yes,Yes,Yes, ,-8672358.4345,4817249.0159,http://marylandsbest.net/producer/blueberry-hill-vegetables/
-77.1698089290854,39.4615979895872,92,Farm,Blueberry Hills Farm,8225 Talbot Run Road,Mount Airy,21771,Frederick, , , ,Yes, , , ,Yes, , , , , , ,Yes, , , , , ,Yes, ,-8590503.8346,4788008.8693,http://www.pickitfarmfresh.com/blueberry-hills-farm/maryland/mount-airy/
-77.3198527667006,39.1880045207748,93,Farm,Bluebird Hill Farm,15400 Barnesville Road,Boyds,20841,Montgomery, , , , , , , ,Yes, , , ,Lamb, , , , , ,Yes, , , , ,-8607206.6382,4748637.4975,http://www.montgomerycountymd.gov/agservices/resources/files/publications/2015farmdirectory3rd.pdf
-77.4259825416018,39.1809778379065,94,Farm,Bobinawarrah Farm,20415 West Hunter Road,Bealesville,20839,Montgomery, , , , ,Yes, , ,Yes,Yes, , , , , , ,Yes, , , , , , ,-8619020.9507,4747628.3489,http://www.montgomerycountymd.gov/agservices/resources/files/publications/2015farmdirectory3rd.pdf
-76.4936964687816,39.6184745730489,95,Farm,Bogarty Farm,2044 Cox Rd,Jarrettsville,21084,Harford, , , ,Yes,Yes, , , , , , , , , , , , ,Yes, , , , ,-8515239.3398,4810653.9534,http://marylandsbest.net/producer/bogarty-farm/
-77.167582025259,39.3972091808785,96,Farm,Bohn Dock Farm,6061 Old Bohn Rd,Mt Airy,21771,Frederick, ,Yes, ,Yes,Yes, , , , , , , , , , , , ,Yes, , , , ,-8590255.9368,4778729.1457,http://marylandsbest.net/producer/bohn-dock-farm/
-76.608656549975,39.3139513843449,97,Farm,Boone Street Farm,2100 Boone St,Baltimore,21218,Baltimore City, , , ,Yes,Yes, , , , , , , , , , , ,Yes,Yes, , ,Yes, ,-8528036.6375,4766742.7093,http://www.boonestreetfarm.blogspot.com/
-76.4870128746087,39.4762787415895,98,Farm,Boordy Vineyards,12820 Long Green Pike,Hydes,21082,Baltimore, , , ,Yes, , , , , , , , ,Vineyard, , , , , , , ,Yes, ,-8514495.3255,4790125.8626,http://www.boordy.com
-75.7230417865812,38.2780978681245,99,Farm,Bordeleau Winery,3155 Noble Farm Rd.,Eden,21822,Wicomico, , , ,Yes, , , , , , , , ,Vineyard,Yes, , , , , , ,Yes, ,-8429450.453,4618786.5474,http://www.bordeleauwine.com/contact-us.aspx
-77.3780224515766,39.6079402143419,100,Farm,"Bought The Farm, LLC",13631 Graceham Rd,Thurmont,21788,Frederick,Yes - USDA, , , ,Yes,Yes, , , , , , , , , , , , ,Yes, , , ,-8613682.0579,4809131.7172,http://www.boughtthefarm.com
